Fecha;Cliente;Campaña;Impresiones;Clics;Inversion_USD;Conversiones
2023-05-31;EcoGlow Cosmetics;Search_Brand;4500;410;328.00;55
2023-05-31;EcoGlow Cosmetics;Social_Prospecting;95000;2100;665.00;82
2023-05-31;EcoGlow Cosmetics;Display_Retargeting;18000;150;52.50;9
2023-07-31;EcoGlow Cosmetics;Search_Brand;5200;550;440.00;78
2023-07-31;EcoGlow Cosmetics;Social_Prospecting;110000;2800;825.00;115
2023-11-30;EcoGlow Cosmetics;Search_Brand;7800;910;728.00;140
2023-11-30;EcoGlow Cosmetics;Social_Prospecting;185000;4500;1295.00;210
2023-12-31;EcoGlow Cosmetics;Search_Brand;8500;1050;892.50;165
2023-12-31;EcoGlow Cosmetics;Social_Prospecting;210000;5200;1575.00;250
2024-06-30;EcoGlow Cosmetics;Social_Prospecting;130000;3100;975.00;135
2025-05-31;EcoGlow Cosmetics;Search_Brand;6800;750;637.50;112
2026-03-31;EcoGlow Cosmetics;Social_Prospecting;160000;3900;1200.00;175
2026-04-30;EcoGlow Cosmetics;Search_Brand;9200;1150;977.50;190
