Fecha;Cliente;Campaña;Impresiones;Clics;Inversion_USD;Conversiones
2023-05-31;UrbanRide Mobility;Search_Brand;5800;610;488.00;95
2023-05-31;UrbanRide Mobility;Social_Prospecting;62000;1100;465.00;38
2023-05-31;UrbanRide Mobility;Display_Retargeting;22000;185;64.75;12
2023-06-30;UrbanRide Mobility;Search_Brand;6900;750;600.00;120
2023-06-30;UrbanRide Mobility;Social_Prospecting;75000;1450;562.50;55
2023-11-30;UrbanRide Mobility;Search_Brand;9500;1100;935.00;210
2023-11-30;UrbanRide Mobility;Social_Prospecting;130000;3100;1105.00;145
2023-12-31;UrbanRide Mobility;Search_Brand;10500;1300;1170.00;260
2023-12-31;UrbanRide Mobility;Social_Prospecting;150000;3800;1350.00;190
2024-03-31;UrbanRide Mobility;Search_Brand;7200;810;688.50;145
2025-08-31;UrbanRide Mobility;Display_Retargeting;31000;290;116.00;18
2026-02-28;UrbanRide Mobility;Search_Brand;11200;1450;1305.00;310
2026-04-30;UrbanRide Mobility;Social_Prospecting;165000;4200;1485.00;225
